[5, 0.014]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.015]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.016]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.017]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.018]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.019]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.02]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.022]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.024]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.026]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.028]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.03]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.032]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
